Iteration,Distance,NGD,Context,Vector,WordA,WordB
0,0.397335,0.25514330276832464,0.45433161481125683,0.5480189591595228,Prüfungssystem,EU-Integration,1.6548288767391042
1,0.7505040000000001,0.3832587182444849,1,1.0276428721569248,Stockholmer,Geschäftstätigkeit,3.16140559040141
2,0.5296799999999999,0.14941338677606641,0.6266951775221132,0.9069922805091474,Anrecht,Ja,2.2127808448073267
3,0.5296799999999999,0.36220942673098866,1,0.9497534550114474,Tausender,Physiognomik,2.841642881742436
4,0.8228679999999999,1.0971429651938578,1,1.0,Weihnachtsbaumkugel,Kreuzreaktion,3.9200109651938577
5,0.7505040000000001,1.2511417085542278,0.5578705410849925,1.0,Selbstverwalter,Walfangboot,3.55951624963922
6,0.916397,0.06010813723469988,1,1.0,Krabbentaucher,Ballerspiel,2.9765051372347
7,0.7866420000000001,0.26447838147730784,1,0.950094263334117,Douglasie,Laufleistung,3.0012146448114247
8,0.7866420000000001,1.3366295947817846,1,1.0,Mannschaftsspielerin,Helgoländer Friesisch,4.123271594781785
9,0.58578,0.15297619393442263,1,0.8910356412744764,Farbeffekt,Ethikunterricht,2.6297918352088994
10,0.7866420000000001,0.431557665686954,0.563791416028937,0.881447870693856,Seniorin,Ausbildungsplatzsuche,2.663438952409747
11,0.58578,-0.12314570467446062,1,1.0,Veneto,Unfallquote,2.4626342953255396
12,0.58578,0.3212265143422244,1,1.0,Wasseraufnahmefähigkeit,Einkommenseffekt,2.9070065143422243
13,0.8228679999999999,0.15150823997435425,0.6691148921618834,1.0,Geschäftsauto,Korinth,2.6434911321362375
14,0.8228679999999999,1.0117723417759488,0.5074317444173395,0.916344651302391,Planungsarbeit,Frischling,3.258416737495679
15,0.58578,0.3896275545928797,1,1.0,Einvernehmen,Gesprächstechnik,2.9754075545928798
16,0.397335,0.3122329190588985,1,0.4528619284382138,Gegengutachten,Bestätigung,2.1624298474971124
17,0.319994,0.13645786222886847,1,0.979778261799434,Symptomatik,Metallband,2.4362301240283024
18,0.17548799999999998,0.18527874689794255,1,1.0,Klatschbase,Traummädchen,2.3607667468979425
19,0.6751499999999999,1.0321637491750804,0.3979400086720377,1.0,Vollrohrzucker,Khalkha,3.1052537578471178
20,0.939427,0.18253177722914782,0.6702982865556792,1.0,Massenentlassung,Habichtskauz,2.7922570637848274
21,0.397335,0.20222556193173624,1,0.8664085693315309,Weihnachtsmenü,Spielablauf,2.4659691312632672
22,0.6751499999999999,0.4479077131224767,0.5291821732667235,0.5231738216039085,Nachlauf,Beschichtung,2.1754137079931084
23,0.916397,0.2806737788573479,1,0.8656707299555868,Weihnachtsfeiertag,Betriebsärztin,3.062741508812935
24,0.58578,0.24910491177867267,1,1.0,Wortkombination,Kriegstoter,2.8348849117786727
25,0.916397,0.14962763730663353,1,1.0,Lobelie,Reichswehrministerium,3.0660246373066338
26,0.397335,0.382304424467515,0.6691148921618834,1.0,Höchstzahl,Zieldatum,2.4487543166293984
27,0.713544,0.07894273955270892,1,1.0,Madeleine,Torpedobomber,2.792486739552709
28,0.6341030000000001,0.2456082149576997,0.6691148921618834,1.0,Langhaardackel,Dorfmusik,2.548826107119583
29,0.713544,1.1053951347850812,1,1.0,FDP-Poltikerin,Grundzahl,3.818939134785081
30,0.7866420000000001,0.12964794069756336,1,0.9627001089908837,Abbé,Tiefgründigkeit,2.878990049688447
31,0.713544,0.32575898725910624,1,1.0,Schiffsmotor,Sozialberuf,3.039302987259106
32,0.916397,0.05439696305007402,0.6714559000758995,1.0,Gesamtfördersumme,Kreuzfahrerstaat,2.6422498631259734
33,0.17548799999999998,0.21630177756439095,0.4114809445885169,1.0,Stammesfürstin,Heterosexueller,1.8032707221529078
34,0.7505040000000001,0.30800543067269304,0.6188971751464531,1.0,Überlaufrinne,Militärtheoretiker,2.6774066058191464
35,0.6751499999999999,0.5941276856021795,0.4491278998607583,1.0,Grabeskälte,Auftragsbegleitpapier,2.718405585462938
36,0.916397,0.34293032443635074,1,1.0,Numismatikerin,Verkündigung,3.2593273244363505
37,0.7866420000000001,0.3350370940512184,0.5782602151712053,0.6466135481689526,PR-Berater,Bereicherung,2.3465528573913765
38,0.24407800000000002,0.35348701729583887,1,1.0,Gemeinschaftsbetrieb,Dachgesellschaft,2.597565017295839
39,0.6341030000000001,0.32181381347868543,1,1.0,Wasserstoff,Gehorsamsverweigerung,2.9559168134786855
40,0.6341030000000001,0.29842652058623365,0.520375066863737,1.0,Schadensmeldung,Kriegsauswirkung,2.4529045874499706
41,0.6751499999999999,0.3986982401007645,1,1.0,Tontafel,Einigungserklärung,3.0738482401007645
42,0.713544,0.4442190958417699,0.583970804646981,1.0,Gaslieferung,Mangopflaume,2.7417339004887507
43,0.8228679999999999,0.3326002061214648,1,1.0,Opernensemble,Gesamtsozialversicherungsbeitrag,3.1554682061214647
44,0.7866420000000001,0.2545569007308205,0.6524693142571201,0.5670769910438619,Bordmittel,Zusatzartikel,2.2607452060318027
45,0.713544,0.4014553740770881,0.6691148921618834,0.8287765199766273,Holzfeuchte,Glasmosaik,2.6128907862155986
46,0.46814599999999995,1.354009767385065,0.003510631290742361,1.0,Kurtschatowium,Kunstteil,2.8256663986758075
47,0.958395,0.20504277834563844,0.005234991164100755,0.9490366158418105,Kaffeeproduktion,Kreisbrandmeister,2.11770938535155
48,0.858146,0.3729891784019824,0.5745078928932738,0.8167129749317333,Bettcouch,Pokerspiel,2.6223560462269897
49,0.916397,0.4451101829493498,1,1.0,Wasserarmut,Exilkubanerin,3.36150718294935
50,0.916397,0.21162169888529903,0.520375066863737,0.902921037089874,Einigung,Magistra,2.55131480283891
51,0.7866420000000001,0.3700821700650273,0.5,0.7228382418197341,Science-Fiction-Literatur,Soloinstrument,2.379562411884762
52,0.6751499999999999,0.17312562433125045,1,1.0,Schulausflug,Senderstandort,2.8482756243312504
53,0.889303,0.2633935742307142,0.6758469512137555,1.0,Livepublikum,Babysprache,2.82854352544447
54,0.958395,0.12476194739643598,0.6779104564871112,1.0,Zaar,Großes Granatauge,2.761067403883547
